cups;data_anterior;data_mesura;tarifa;origen;mesura_baixa;periode;consum;lectura_anterior;lectura_actual
ES0031300725257018MM0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;239;9086;9325
ES0031300827578003ZQ0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;130;1506;1636
ES0031300724332001ZW0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;322;1996;2318
ES0031405829494004MD0F;2015-11-26;2016-01-28;2.0A;F1;N;P1;0;0;0
ES0031405879086008KB0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;622;74521;75143
ES0031405879085008RT0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;339;64080;64419
ES0031300828109020XD0F;2015-12-23;2016-01-25;2.0A;F1;N;P1;72;600;672
ES0031300716829004ML0F;2015-11-24;2016-01-26;2.0A;F1;N;P1;725;25752;26477
ES0021000013243939CF;2015-12-20;2016-01-24;2.0A;F1;N;P1;21;764;785
ES0021000013782667YY;2015-12-20;2016-01-24;2.0A;F1;N;P1;376;10789;11165
ES0021000015688531TK;2015-12-18;2016-01-23;2.0A;F1;N;P1;95;5789;5884
ES0021000013637071RT;2015-12-12;2016-01-23;2.0A;F1;N;P1;195;5377;5572
ES0021000002621381DE;2015-12-20;2016-01-24;2.0A;F1;N;P1;548;15027;15575
ES0031405921774005JP0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;340;12643;12983
ES0021000007120375AD;2015-12-21;2016-01-27;2.0A;F1;N;P1;275;6313;6588
ES0031405894204004PS0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;223;9065;9288
ES0031405881482001MW0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;541;37546;38087
ES0031405879087008HE0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;322;63835;64157
ES0031405879089006JL0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;260;66649;66909
ES0021000004896098XQ;2015-12-21;2016-01-27;2.0A;F1;N;P1;635;16117;16752
ES0031405879093007AH0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;486;81355;81841
ES0031405879088008QX0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;730;97059;97789
ES0031601079864001YT0F;2015-12-30;2016-01-27;2.0A;F1;N;P1;1397;57930;59327
ES0031300813502015EM0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;43;1052;1095
ES0031405879091006PH0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;326;69014;69340
ES0031300813502017EF0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;43;4131;4174
ES0031405879090008BD0F;2015-10-01;2015-11-30;2.0A;F1;N;P1;616;96848;97464
ES0031405879092008YP0F;2015-11-30;2016-02-01;2.0A;F1;N;P1;347;76758;77105
ES0031300002988011PK0F;2015-12-27;2016-01-25;2.0A;F1;N;P1;29;1208;1237
ES0031406057682003BV0F;2015-12-28;2016-01-26;2.0A;F1;N;P1;198;1179;1377
ES0031300814622002AF0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;22;1174;1196
ES0031300814622003AP0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;31;1847;1878
ES0031300814622004AD0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;250;6643;6893
ES0031300828111030MH0F;2015-12-23;2016-01-25;2.0A;F1;N;P1;125;1790;1915
ES0031300827578006ZL0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;0;529;529
ES0031300820900011LM0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;73;1199;1272
ES0031300817813013YK0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;138;3715;3853
ES0031300817510001BB0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;19;545;564
ES0031406216506001CE0F;2015-09-30;2015-11-30;2.0A;F1;N;P1;895;94264;95159
ES0031300827578005ZH0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;52;2623;2675
ES0031406216621001YE0F;2015-10-05;2015-12-01;2.0A;F1;N;P1;302;64381;64683
ES0031300827578004ZV0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;99;2214;2313
ES0031300826614012PR0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;38;298;336
ES0031300020742001HN0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;439;2979;3418
ES0031300826614014PA0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;417;4777;5194
ES0031300826614011PT0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;346;4591;4937
ES0031300826614009FK0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;0;2;2
ES0031300820900020LZ0F;2015-12-28;2016-01-26;2.0A;F1;N;P1;566;2182;2748
ES0031406217529013VV0F;2015-10-02;2015-11-30;2.0A;F1;N;P1;218;52630;52848
ES0031300826614008FC0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;1;0;1
ES0031406218149001VV0F;2015-10-05;2015-12-03;2.0A;F1;N;P1;212;21859;22071
ES0031300826614005FV0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;0;0;0
ES0031300826614007FL0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;0;1;1
ES0031300826614004FQ0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;0;0;0
ES0031300824096001DF0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;61;1607;1668
ES0031406229285001HS0F;2015-06-16;2015-08-18;2.0A;F1;N;P1;949;166841;167790
ES0031300826614003FS0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;0;67;67
ES0031300021645005HJ0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;180;1369;1549
ES0031300826614001FJ0F;2015-11-30;2015-12-31;2.0A;F1;N;P1;522;5928;6450
ES0031300824096006DN0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;90;3193;3283
ES0031300824096004DX0F;2015-12-29;2016-01-25;2.0A;F1;N;P1;90;6742;6832
ES0031300824096003DD0F;2015-12-28;2016-01-25;2.0A;F1;N;P1;1936;30146;32082
ES0031406217871001MH0F;2015-10-04;2015-12-02;2.0A;F1;N;P1;0;350;350
ES0031300824096005DB0F;2015-12-24;2016-01-26;2.0A;F1;N;P1;128;3265;3393
ES0031406218258001HC0F;2015-12-28;2016-01-27;2.0A;F1;N;P1;358;42681;43039
ES0031406221163009FJ0F;2015-12-30;2016-01-29;2.0A;F1;N;P1;168;5031;5199
ES0031406221006001NA0F;2015-11-26;2016-01-27;2.0A;F1;N;P1;1879;181935;183814
ES0031406221644001JY0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;377;6395;6772
ES0031406221644002JF0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;11;260;271
ES0031406221770001VN0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;41;10183;10224
ES0031408427732009YG0F;2015-12-17;2016-01-20;2.0A;F1;N;P1;388;14299;14687
ES0031408421348004GV0F;2015-12-29;2016-01-27;2.0A;F1;N;P1;361;12340;12701
ES0031406217526001RH0F;2015-09-30;2015-11-30;2.0A;F1;N;P1;0;540;540
ES0031406221811010YN0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;587;37062;37649
ES0031406221855009XN0F;2016-01-06;2016-01-31;2.0A;F1;N;P1;0;1266;1266
ES0031408397344004TJ0F;2015-12-22;2016-01-25;2.0A;F1;N;P1;670;29577;30247
ES0031406221868005TJ0F;2015-12-29;2016-01-28;2.0A;F1;N;P1;3;82;85
ES0031406222499001LG0F;2015-12-23;2016-01-24;2.0A;F1;N;P1;296;1045;1341
ES0031406062121006HC0F;2016-01-07;2016-01-30;2.0A;F1;N;P1;0;83085;83085
ES0031406223129001VB0F;2015-12-30;2016-01-29;2.0A;F1;N;P1;106;4633;4739
ES0031406223131001NX0F;2015-12-30;2016-01-29;2.0A;F1;N;P1;227;4489;4716
ES0031406223335002GR0F;2015-11-27;2016-01-28;2.0A;F1;N;P1;973;264;1237
ES0031406223513001SA0F;2015-11-27;2016-01-28;2.0A;F1;N;P1;942;230;1172
ES0031406229285001HS0F;2015-02-18;2015-04-20;2.0A;F1;N;P1;113;166482;166595
ES0031408252820003VP0F;2015-12-28;2016-01-27;2.0A;F1;N;P1;720;11571;12291
ES0031408221285003YD0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;236;12143;12379
ES0031408210961035YM0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;0;2644;2644
ES0031406223996004QY0F;2015-11-25;2016-01-26;2.0A;F1;N;P1;657;317452;318109
ES0031408204478007TX0F;2015-12-24;2016-01-26;2.0A;F1;N;P1;340;6793;7133
ES0031406223992019GT0F;2015-11-25;2016-01-26;2.0A;F1;N;P1;144;21;165
ES0031300510444007BW0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;222;13739;13961
ES0031408186628001WM0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;281;10654;10935
ES0021000010052198FE0F;2015-11-23;2016-01-28;2.0A;F1;N;P1;210;38433;38643
ES0031406224012046TV0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;196;523;719
ES0031408090839016BV0F;2016-01-03;2016-01-27;2.0A;F1;N;P1;320;1757;2077
ES0031406224013012LV0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;298;664;962
ES0031408021826001WC0F;2015-11-24;2016-01-26;2.0A;F1;N;P1;793;65294;66087
ES0031406229285001HS0F;2015-04-20;2015-06-16;2.0A;F1;N;P1;246;166595;166841
ES0031406361384001PX0F;2015-12-27;2016-01-27;2.0A;F1;N;P1;64;1680;1744
ES0031406224013013LH0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;231;541;772
ES0031300798439006XH0F;2015-12-27;2016-01-26;2.0A;F1;N;P1;141;6941;7082
ES0031406302594038MW0F;2015-11-26;2016-01-27;2.0A;F1;N;P1;468;27702;28170
ES0031406224282001FK0F;2015-11-27;2016-01-29;2.0A;F1;N;P1;1616;163884;165500
ES0031406270151013MH0F;2015-12-23;2016-01-26;2.0A;F1;N;P1;698;13743;14441
ES0031406061978001BY0F;2016-01-05;2016-01-29;2.0A;F1;N;P1;172;38175;38347
ES0031406224282002FE0F;2015-11-27;2016-01-29;2.0A;F1;N;P1;565;110317;110882
ES0031406274823020TN0F;2015-11-24;2016-01-26;2.0A;F1;N;P1;0;4193;4193
ES0031406226912001EV0F;2015-11-27;2016-01-28;2.0A;F1;N;P1;2687;155131;157818
ES0031300556312006XK0F;2015-12-27;2016-01-25;2.0A;F1;N;P1;114;6427;6541
ES0031406269079004VQ0F;2015-12-28;2016-01-28;2.0A;F1;N;P1;534;4179;4713
ES0031406240914001HP0F;2015-11-25;2016-01-26;2.0A;F1;N;P1;5515;291749;297264
ES0031406227364001DK0F;2015-12-30;2016-01-27;2.0A;F1;N;P1;101;2702;2803
ES0031406209842001NL0F;2015-12-19;2016-01-29;2.0A;F1;N;P1;249;82934;83183
ES0031300558367001AN0F;2015-11-24;2016-01-26;2.0A;F1;N;P1;1633;6327;7960
ES0031406228914001BM0F;2016-01-03;2016-01-31;2.0A;F1;N;P1;903;18274;19177
ES0031406228934001YH0F;2016-01-04;2016-01-23;2.0A;F1;N;P1;304;13656;13960
ES0031406179267003LW0F;2015-12-15;2016-01-20;2.0A;F1;N;P1;977;16972;17949
ES0031406202149001TJ0F;2015-11-26;2016-01-27;2.0DHA;F1;N;P1;1143;39474;40617
ES0031300826614010FE0F;2015-12-28;2016-01-27;2.0DHA;F1;N;P1;45;542;587
ES0031300002989007YM0F;2015-12-28;2016-01-26;2.0DHA;F1;N;P1;31;2117;2148
ES0031406060198001ZE0F;2015-12-31;2016-01-28;2.0DHA;F1;N;P1;205;857;1062
ES0031406228513001XX0F;2016-01-04;2016-02-01;2.0DHA;F1;N;P1;252;5825;6077
ES0031405725417001FF0F;2015-12-30;2016-01-28;2.0DHA;F1;N;P1;284;12504;12788
ES0031300807219001HQ0F;2015-12-31;2016-01-30;2.0DHA;F1;N;P1;37;1632;1669
ES0031300806747001NE0F;2015-12-29;2016-01-26;2.0DHA;F1;N;P1;132;10664;10796
ES0031406215170008DF0F;2015-12-18;2016-01-19;2.0DHA;F1;N;P1;136;4465;4601
ES0031406241343001VN0F;2015-11-26;2016-01-28;2.0DHA;F1;N;P1;291;7495;7786
ES0021000000228141PR;2015-12-13;2016-01-18;2.0DHA;F1;N;P1;146;3858;4004
ES0031406064745009WE0F;2015-12-28;2016-01-25;2.0DHA;F1;N;P1;166;9441;9607
ES0031406056884001TT0F;2015-12-31;2016-01-30;2.0DHA;F1;N;P1;85;1122;1207
ES0031300821146001LX0F;2015-12-29;2016-01-26;2.0DHA;F1;N;P1;43;3295;3338
ES0031406064449001JR0F;2015-11-25;2016-01-27;2.0DHA;F1;N;P1;13;31115;31128
ES0031408010052001TL0F;2015-12-22;2016-01-22;2.0DHA;F1;N;P1;285;31629;31914
ES0031300716830002AM0F;2015-12-23;2016-01-25;2.0DHA;F1;N;P1;5;0;5
ES0031406064837013RA0F;2015-12-28;2016-01-25;2.0DHA;F1;N;P1;573;1342;1915
ES0031408277937022KS0F;2015-12-24;2016-01-27;2.0DHA;F1;N;P1;92;9577;9669
ES0031406060405001KE0F;2015-12-31;2016-01-28;2.0DHA;F1;N;P1;725;5916;6641
ES0031408010052001TL0F;2015-12-22;2016-01-22;2.0DHA;F1;N;P2;770;8905;9675
ES0031406215170008DF0F;2015-12-18;2016-01-19;2.0DHA;F1;N;P2;881;13277;14158
ES0031406228513001XX0F;2016-01-04;2016-02-01;2.0DHA;F1;N;P2;608;16949;17557
ES0021000000228141PR;2015-12-13;2016-01-18;2.0DHA;F1;N;P2;1644;23374;25018
ES0031300826614010FE0F;2015-12-28;2016-01-27;2.0DHA;F1;N;P2;42;28;70
ES0031300821146001LX0F;2015-12-29;2016-01-26;2.0DHA;F1;N;P2;93;1388;1481
ES0031300807219001HQ0F;2015-12-31;2016-01-30;2.0DHA;F1;N;P2;39;1116;1155
ES0031406060198001ZE0F;2015-12-31;2016-01-28;2.0DHA;F1;N;P2;111;493;604
ES0031405725417001FF0F;2015-12-30;2016-01-28;2.0DHA;F1;N;P2;231;12913;13144
ES0031406056884001TT0F;2015-12-31;2016-01-30;2.0DHA;F1;N;P2;175;2122;2297
ES0031406064837013RA0F;2015-12-28;2016-01-25;2.0DHA;F1;N;P2;1408;2272;3680
ES0031300716830002AM0F;2015-12-23;2016-01-25;2.0DHA;F1;N;P2;0;0;0
ES0031300806747001NE0F;2015-12-29;2016-01-26;2.0DHA;F1;N;P2;152;2089;2241
ES0031406060405001KE0F;2015-12-31;2016-01-28;2.0DHA;F1;N;P2;799;6038;6837
ES0031406064745009WE0F;2015-12-28;2016-01-25;2.0DHA;F1;N;P2;154;6396;6550
ES0031406241343001VN0F;2015-11-26;2016-01-28;2.0DHA;F1;N;P2;283;21485;21768
ES0031406064449001JR0F;2015-11-25;2016-01-27;2.0DHA;F1;N;P2;18;46264;46282
ES0031408277937022KS0F;2015-12-24;2016-01-27;2.0DHA;F1;N;P2;147;834;981
ES0031300002989007YM0F;2015-12-28;2016-01-26;2.0DHA;F1;N;P2;52;2428;2480
ES0031406202149001TJ0F;2015-11-26;2016-01-27;2.0DHA;F1;N;P2;1381;129963;131344
ES0031300002853012GD0F;2015-12-29;2016-01-26;2.1A;F1;N;P1;660;6601;7261
ES0031406063421001YD0F;2016-01-05;2016-01-29;2.1A;F1;N;P1;1058;152114;153172
ES0021000003822720DW;2015-12-20;2016-01-24;2.1A;F1;N;P1;1909;25467;27376
ES0031300801171014KV0F;2015-11-25;2016-01-27;2.1A;F1;N;P1;385;32271;32656
ES0031406058583007QL0F;2015-12-30;2016-01-29;2.1A;F1;N;P1;741;2538;3279
ES0031300812687001YL0F;2015-12-23;2016-02-01;2.1A;F1;N;P1;2974;171288;174262
ES0031406057718001NC0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;1064;53534;54598
ES0031408434999001BP0F;2015-12-29;2016-01-27;2.1A;F1;N;P1;261;9617;9878
ES0031408401770014VH0F;2015-12-17;2016-01-20;2.1A;F1;N;P1;241;5694;5935
ES0021000002680961RD0F;2015-12-20;2016-01-24;2.1A;F1;N;P1;703;22441;23144
ES0031408367045003TQ0F;2016-01-03;2016-01-31;2.1A;F1;N;P1;189;3576;3765
ES0031408190420001FH0F;2015-12-17;2016-01-19;2.1A;F1;N;P1;0;16259;16259
ES0031405961975001CV0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;928;32853;33781
ES0031408070426009JQ;2015-11-25;2016-01-28;2.1A;F1;N;P1;2101;209045;211146
ES0021000000642388DH;2015-11-23;2016-01-26;2.1A;F1;N;P1;5915;717636;723551
ES0021000003855222LM;2015-12-21;2016-01-27;2.1A;F1;N;P1;1199;11516;12715
ES0021000011522862DC;2015-11-18;2016-01-25;2.1A;F1;N;P1;4481;40227;44708
ES0021000013595200CN;2015-12-27;2016-01-24;2.1A;F1;N;P1;1766;64489;66255
ES0031405993288008QL0F;2015-12-23;2016-01-25;2.1A;F1;N;P1;872;11683;12555
ES0031405964965001RV0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1190;29011;30201
ES0031405964964001GY0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1496;43966;45462
ES0031405964966001EM0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;901;31863;32764
ES0031405964960002ZD0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1218;29418;30636
ES0031405964122001BJ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1141;27189;28330
ES0031405964121001ZW0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;925;25231;26156
ES0031405961979001XS0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1023;34072;35095
ES0031405964119001LA0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;826;29931;30757
ES0021000015327834GX;2015-12-20;2016-01-25;2.1A;F1;N;P1;2020;18562;20582
ES0031405961977001SQ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1095;24306;25401
ES0031405961914001JJ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1397;45917;47314
ES0031405957408001ZN0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;825;38477;39302
ES0031405957403004GY0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;720;23468;24188
ES0031405956407001PH0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;1010;25985;26995
ES0031405956398001PB0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;927;54791;55718
ES0031405879090001BW0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;287;9979;10266
ES0031405955995001NV0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;755;19182;19937
ES0031405955994001SY0F;2015-12-01;2016-02-01;2.1A;F1;N;P1;917;35835;36752
ES0031405932699007VX0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;213;52286;52499
ES0031405932701002NG0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;857;26399;27256
ES0031405932699001VG0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1009;78716;79725
ES0031405932697001EM0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1132;50506;51638
ES0031405932696001RV0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1098;29236;30334
ES0031405926505007CW0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;4707;324321;329028
ES0031405926505001LL0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;999;24129;25128
ES0031405926502001GD0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1084;31980;33064
ES0031405926501001YK0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1811;40756;42567
ES0031405926500001DX0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;874;23273;24147
ES0031405926493004GM0F;2016-01-03;2016-01-31;2.1A;F1;N;P1;123;3089;3212
ES0031405926493001GW0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1167;41268;42435
ES0031405926492001YZ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;1669;46891;48560
ES0031405926492003YQ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;0;11577;11577
ES0031405926492008YK0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;3864;27177;31041
ES0031406216658001MS0F;2015-10-02;2015-11-30;2.1A;F1;N;P1;917;115052;115969
ES0021000010610444ZN0F;2015-12-20;2016-01-24;2.1A;F1;N;P1;1770;26071;27841
ES0031405879093001AN0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;195;37046;37241
ES0031405879091001PJ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;325;18048;18373
ES0021000000503882JH;2015-11-18;2016-01-22;2.1A;F1;N;P1;2542;206986;209528
ES0031405879090001BW0F;2015-10-01;2015-11-30;2.1A;F1;N;P1;301;9678;9979
ES0031405879089001JZ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;278;8552;8830
ES0021000012979399HJ;2015-12-12;2016-01-23;2.1A;F1;N;P1;621;43636;44257
ES0031405879088001QA0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;283;8797;9080
ES0031405879087001HS0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;121;6654;6775
ES0021000002651863RY;2015-12-20;2016-01-24;2.1A;F1;N;P1;74;24353;24427
ES0031405879085001TQ0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;234;7674;7908
ES0031405879086001KG0F;2015-11-30;2016-02-01;2.1A;F1;N;P1;293;8721;9014
